iter	Logloss
0	0.6912179151
1	0.689170793
2	0.6866899763
3	0.6847235607
4	0.6831348578
5	0.6808278068
6	0.6784108131
7	0.6761415801
8	0.6741911217
9	0.6715632637
10	0.669096114
11	0.6669895854
12	0.6653489237
13	0.6636337293
14	0.6613888355
15	0.6597101259
16	0.6576483126
17	0.6558950809
18	0.6542723054
19	0.6521790963
20	0.6508375013
21	0.6489836064
22	0.646720559
23	0.6448745465
24	0.6427025545
25	0.6410351137
26	0.6391770245
27	0.6368595816
28	0.6346412398
29	0.6326204537
30	0.6303914976
31	0.6288298087
32	0.6272120639
33	0.6253149907
34	0.6233934035
35	0.6214509299
36	0.6201474353
37	0.6184106777
38	0.6166393235
39	0.6150321975
40	0.6128167828
41	0.6112577553
42	0.609225878
43	0.6075333793
44	0.6054081315
45	0.6038112119
46	0.6020408231
47	0.6001109643
48	0.5985448121
49	0.5972069302
50	0.5954906335
51	0.593638065
52	0.5916946659
53	0.5896172004
54	0.5879037958
55	0.5867974018
56	0.585121323
57	0.5838569056
58	0.5819695507
59	0.5807261019
60	0.5791713224
61	0.5770177503
62	0.5756065874
63	0.5740629738
64	0.5726810836
65	0.5713903366
66	0.5695354371
67	0.5678767029
68	0.5665053644
69	0.5644291812
70	0.5626234098
71	0.5613941273
72	0.5596688696
73	0.5584795846
74	0.5570511911
75	0.5555696306
76	0.5535698142
77	0.5515519482
78	0.5502682537
79	0.5491222723
80	0.5482061129
81	0.5463996443
82	0.5451158669
83	0.5438277513
84	0.5421184841
85	0.540428597
86	0.539109112
87	0.5375155099
88	0.5357083257
89	0.5340414155
90	0.5329234019
91	0.5320083957
92	0.5304080873
93	0.5293232987
94	0.5281873506
95	0.5268765629
96	0.5254453256
97	0.5238017695
98	0.5226078842
99	0.5214020341
100	0.520134737
101	0.5188719565
102	0.5177865923
103	0.5164047452
104	0.5151482467
105	0.5138084289
106	0.5124098431
107	0.5111829897
108	0.5098620237
109	0.5086643135
110	0.5075000858
111	0.506012025
112	0.5044179039
113	0.5031089846
114	0.5018999281
115	0.500536621
116	0.4995109006
117	0.4982096862
118	0.4965901747
119	0.4953191185
120	0.4939979078
121	0.4925766084
122	0.4914902336
123	0.4901813825
124	0.4888720227
125	0.4873525126
126	0.4864931155
127	0.4855068195
128	0.4841389908
129	0.4830242756
130	0.4819645291
131	0.4805357855
132	0.4795600502
133	0.4778095392
134	0.4763104969
135	0.4751224056
136	0.4740321123
137	0.4728279939
138	0.4713781963
139	0.4703422852
140	0.4691177551
141	0.4677237708
142	0.4666634645
143	0.4653849857
144	0.464278515
145	0.4631073345
146	0.461786158
147	0.4606599447
148	0.4594072372
149	0.4582439851
150	0.4574156017
151	0.4562710375
152	0.4548210353
153	0.4537437386
154	0.4524108669
155	0.4516017976
156	0.4506202003
157	0.4498045768
158	0.4486648466
159	0.4475493188
160	0.4464032607
161	0.445490781
162	0.4443366298
163	0.4429628626
164	0.4420422508
165	0.4411087781
166	0.4400930522
167	0.4387112938
168	0.4377811806
169	0.4366397942
170	0.4350649542
171	0.4342720365
172	0.4329483337
173	0.4320054684
174	0.4311555928
175	0.4302256084
176	0.4293759014
177	0.4284078083
178	0.4274671815
179	0.4262694352
180	0.4255358206
181	0.4248409454
182	0.4235574029
183	0.4225047482
184	0.4212240187
185	0.4201339119
186	0.4191458313
187	0.418487468
188	0.4174360956
189	0.4161161588
190	0.4149264307
191	0.4139251215
192	0.4128480789
193	0.4115715537
194	0.4103634781
195	0.4094540894
196	0.4086634027
197	0.4078947357
198	0.4069594439
199	0.4058729685
200	0.4051362956
201	0.4041800517
202	0.4033613572
203	0.4024817753
204	0.4015636219
205	0.4005637587
206	0.3996047238
207	0.3981999188
208	0.3975283298
209	0.3963493105
